"STATION","DIRECTION","DAYTYPE","ARRIVAL"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:20:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:32:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:44:24"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:55:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","01:11:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","01:27:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","01:43:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","01:59:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","02:15:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","02:31:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","02:47:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","03:03:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","03:19:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","03:35:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","03:51:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","04:07:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","04:23:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","04:39:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","04:55:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","05:11:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","05:27:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","05:43:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","05:59:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","06:15:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","06:31:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","06:47:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","07:03:34"
"CENTRO_MEDICO","TO_BAYAMON","LOW_SEASON_WORKDAY","07:19:34"
